,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
10,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Just please don t launch another card which needs to be maintained just like voter  aadhar  pan  debit  credit  ration card etc   Include this as a feature facility in aadhar itself please ,1440965790392487938,False, mansukhmandviya  narendramodi Just please don t launch another card which needs to be maintained just like voter  aadhar  pan  debit  credit  ration card etc   Include this as a feature facility in aadhar itself please ,2021-09-23T09:06:30.000Z,India,"@mansukhmandviya @narendramodi Just please don't launch another card which needs to be maintained just like voter, aadhar, pan, debit, credit, ration card etc...Include this as a feature/facility in aadhar itself please.",[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/JkxmDgzC8E'],
11,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Brilliant,1440964363527999490,False, mansukhmandviya  narendramodi Brilliant,2021-09-23T09:00:50.000Z,India,@mansukhmandviya @narendramodi Brilliant,[],[],"['mansukhmandviya', 'narendramodi']",[],
12,en,1440935873248387072,432697203, raghav2k  mansukhmandviya  MoHFW INDIA  narendramodi Aadhar frauds too happening   ppl take care of their reports in file    digital not needed      Money waste,1440960984345047049,False, raghav2k  mansukhmandviya  MoHFW INDIA  narendramodi Aadhar frauds too happening   ppl take care of their reports in file    digital not needed      Money waste,2021-09-23T08:47:25.000Z,India,@raghav2k @mansukhmandviya @MoHFW_INDIA @narendramodi Aadhar frauds too happening...ppl take care of their reports in file... digital not needed !!!! Money waste,[],[],"['raghav2k', 'mansukhmandviya', 'MoHFW_INDIA', 'narendramodi']",['https://t.co/xZTui1PCiv'],
13,en,1440935873248387072,432697203, mansukhmandviya  MoHFW INDIA  narendramodi Not needed   focus on hunger poverty,1440960494756528131,False, mansukhmandviya  MoHFW INDIA  narendramodi Not needed   focus on hunger poverty,2021-09-23T08:45:28.000Z,India,@mansukhmandviya @MoHFW_INDIA @narendramodi Not needed...focus on hunger poverty,[],[],"['mansukhmandviya', 'MoHFW_INDIA', 'narendramodi']",[],
14,en,1440935873248387072,432697203, mansukhmandviya  VinodChavdaBJP  narendramodi Mansukh bhai  I know few families including a Divyangjan family eligible for Aayushman Bharat scheme in Uttar Pradesh  can you assign someone who can help them in availing this wonderful scheme initiated by our honourable PM  will share the details ,1440948533822050314,False, mansukhmandviya  VinodChavdaBJP  narendramodi Mansukh bhai  I know few families including a Divyangjan family eligible for Aayushman Bharat scheme in Uttar Pradesh  can you assign someone who can help them in availing this wonderful scheme initiated by our honourable PM  will share the details ,2021-09-23T07:57:56.000Z,India,"@mansukhmandviya @VinodChavdaBJP @narendramodi Mansukh bhai, I know few families including a Divyangjan family eligible for Aayushman Bharat scheme in Uttar Pradesh, can you assign someone who can help them in availing this wonderful scheme initiated by our honourable PM, will share the details.",[],[],"['mansukhmandviya', 'VinodChavdaBJP', 'narendramodi']",['https://t.co/i0Dq5a2Cow'],
15,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Bur when ppl get independence from DR terrorism     50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees,1440942020005007365,False, mansukhmandviya  narendramodi Bur when ppl get independence from DR terrorism     50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees,2021-09-23T07:32:03.000Z,India,"@mansukhmandviya @narendramodi Bur when ppl get independence from DR terrorism???  
50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees",[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/bG70Ixl8uB'],
16,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Wow  Great initiative  Modiji has chosen right person to head health ministry  ,1440941455694974980,False, mansukhmandviya  narendramodi Wow  Great initiative  Modiji has chosen right person to head health ministry  ,2021-09-23T07:29:49.000Z,India,"@mansukhmandviya @narendramodi Wow. Great initiative. 
Modiji has chosen right person to head health ministry. 
🙏🙏",['🙏'],[],"['mansukhmandviya', 'narendramodi']",[],
17,hi,1440935873248387072,432697203, mansukhmandviya  narendramodi ● जय हिंद  वंदेमातरम  https   t co lPiLgKSG0h,1440939325944852486,False,,2021-09-23T07:21:21.000Z,India,"@mansukhmandviya @narendramodi ● जय हिंद, वंदेमातरम!🇮🇳 https://t.co/lPiLgKSG0h",['🇮🇳'],[],"['mansukhmandviya', 'narendramodi']",[], mansukhmandviya  narendramodi ● जय हिंद  वंदेमातरम  https   t co lPiLgKSG0h
18,en,1440935873248387072,432697203, mansukhmandviya  MoHFW INDIA  narendramodi Such record will be stolen  the data will be misused by Insurance Companies  Hospitals Medical Industry Pharma sector  amp  many others in addition to recruiters for employee vetting etc  More opportunities for data misuse than any good use  Abort this idea ,1440938349892542469,False, mansukhmandviya  MoHFW INDIA  narendramodi Such record will be stolen  the data will be misused by Insurance Companies  Hospitals Medical Industry Pharma sector  amp  many others in addition to recruiters for employee vetting etc  More opportunities for data misuse than any good use  Abort this idea ,2021-09-23T07:17:28.000Z,India,"@mansukhmandviya @MoHFW_INDIA @narendramodi Such record will be stolen, the data will be misused by Insurance Companies, Hospitals,Medical Industry,Pharma sector &amp; many others in addition to recruiters for employee vetting etc. More opportunities for data misuse than any good use. Abort this idea.",[],[],"['mansukhmandviya', 'MoHFW_INDIA', 'narendramodi']",['https://t.co/gL5UfE8ZBP'],
19,en,1440935873248387072,432697203, mansukhmandviya  MoHFW INDIA  narendramodi UNIQUE DIGITAL HEALTH ID is a very good initiative hoping that  At least this ID saves the poor people and middle class people from so many diseases  fevers  viruses  and so on hoping that this initiation at least will succeed in India ,1440938287351226377,False, mansukhmandviya  MoHFW INDIA  narendramodi UNIQUE DIGITAL HEALTH ID is a very good initiative hoping that  At least this ID saves the poor people and middle class people from so many diseases  fevers  viruses  and so on hoping that this initiation at least will succeed in India ,2021-09-23T07:17:13.000Z,India,"@mansukhmandviya @MoHFW_INDIA @narendramodi UNIQUE DIGITAL HEALTH ID is a very good initiative.

hoping that, At least this ID saves the poor people and middle-class people from so many diseases, fevers, viruses, and so on.

hoping that this initiation at least will succeed in India.",[],[],"['mansukhmandviya', 'MoHFW_INDIA', 'narendramodi']",['https://t.co/rjTXRGVQGC'],
20,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Nice achhive,1440938148549128197,False, mansukhmandviya  narendramodi Nice achhive,2021-09-23T07:16:40.000Z,India,@mansukhmandviya @narendramodi Nice achhive,[],[],"['mansukhmandviya', 'narendramodi']",[],
21,en,1440935873248387072,432697203, mansukhmandviya  MoHFW INDIA  narendramodi A great initiative,1440936870288900104,False, mansukhmandviya  MoHFW INDIA  narendramodi A great initiative,2021-09-23T07:11:35.000Z,India,@mansukhmandviya @MoHFW_INDIA @narendramodi A great initiative,[],[],"['mansukhmandviya', 'MoHFW_INDIA', 'narendramodi']",[],
22,en,1440935873248387072,432697203, mansukhmandviya  narendramodi There is one digital ID in vaccination certificate   why create another one  ,1440936346986582028,False, mansukhmandviya  narendramodi There is one digital ID in vaccination certificate   why create another one  ,2021-09-23T07:09:31.000Z,India,@mansukhmandviya @narendramodi There is one digital ID in vaccination certificate.. why create another one ?,[],[],"['mansukhmandviya', 'narendramodi']",[],
23,en,1440935873248387072,432697203, mansukhmandviya  narendramodi  rashtrapatibhvn  narendramodi  PMOIndia  mansukhmandviya  OfficeOf MM  MoHFW INDIA lot of corruption in Pharmacy Council of India  given affiliation to pharmacy colleges specially in u p on high bribe Colleges r running without faculty fake faculty without basic infrastructure,1440936280636866562,False, mansukhmandviya  narendramodi  rashtrapatibhvn  narendramodi  PMOIndia  mansukhmandviya  OfficeOf MM  MoHFW INDIA lot of corruption in Pharmacy Council of India  given affiliation to pharmacy colleges specially in u p on high bribe Colleges r running without faculty fake faculty without basic infrastructure,2021-09-23T07:09:15.000Z,India,"@mansukhmandviya @narendramodi @rashtrapatibhvn @narendramodi @PMOIndia @mansukhmandviya @OfficeOf_MM @MoHFW_INDIA 
lot of corruption in Pharmacy Council of India, given affiliation to pharmacy colleges specially in u.p on high bribe.Colleges r running without faculty,fake faculty without basic infrastructure",[],[],"['mansukhmandviya', 'narendramodi', 'rashtrapatibhvn', 'narendramodi', 'PMOIndia', 'mansukhmandviya', 'OfficeOf_MM', 'MoHFW_INDIA']",['https://t.co/nYfCiIpCjE'],
24,en,1440922157802942464,432697203, mansukhmandviya The MODULE referred by you is not attached with your tweet sir    MoHFW INDIA,1441026447766790152,False, mansukhmandviya The MODULE referred by you is not attached with your tweet sir    MoHFW INDIA,2021-09-23T13:07:32.000Z,India,"@mansukhmandviya The MODULE referred by you is not attached with your tweet sir ! 🤨

@MoHFW_INDIA",['🤨'],[],"['mansukhmandviya', 'MoHFW_INDIA']",[],
25,en,1440922157802942464,432697203, mansukhmandviya Jay ho,1440999030461382665,False, mansukhmandviya Jay ho,2021-09-23T11:18:35.000Z,India,@mansukhmandviya Jay ho,[],[],['mansukhmandviya'],[],
26,hi,1440922157802942464,432697203, mansukhmandviya बहुत ही अच्छा सर मंत्री जी कभी जैसलमेर राजस्थान की यात्रा बनाओ जैसलमेर में आपका स्वागत है,1440997365024903169,False,,2021-09-23T11:11:58.000Z,India,@mansukhmandviya बहुत ही अच्छा सर मंत्री जी कभी जैसलमेर राजस्थान की यात्रा बनाओ जैसलमेर में आपका स्वागत है,[],[],['mansukhmandviya'],[], mansukhmandviya बहुत ही अच्छा सर मंत्री जी कभी जैसलमेर राजस्थान की यात्रा बनाओ जैसलमेर में आपका स्वागत है
27,hi,1440922157802942464,432697203, mansukhmandviya Jai shree RAM,1440983226026135557,False,,2021-09-23T10:15:47.000Z,India,@mansukhmandviya Jai shree RAM,[],[],['mansukhmandviya'],[], mansukhmandviya Jai shree RAM
28,en,1440922157802942464,432697203, mansukhmandviya Good initiative,1440982135876161540,False, mansukhmandviya Good initiative,2021-09-23T10:11:28.000Z,India,@mansukhmandviya Good initiative,[],[],['mansukhmandviya'],[],
29,en,1440922157802942464,432697203, mansukhmandviya Nice,1440982072013639681,False, mansukhmandviya Nice,2021-09-23T10:11:12.000Z,India,@mansukhmandviya Nice,[],[],['mansukhmandviya'],[],
30,en,1440922157802942464,432697203, mansukhmandviya COVID 19 vaccine is mandatory or compulsory for pregnant women in Indiaif yes who is responsible for any type of side effects ,1440968241216589824,False, mansukhmandviya COVID 19 vaccine is mandatory or compulsory for pregnant women in Indiaif yes who is responsible for any type of side effects ,2021-09-23T09:16:15.000Z,India,"@mansukhmandviya COVID-19🦠😷 vaccine is mandatory or compulsory for pregnant women in India❓
if yes who is responsible for any type of side effects ❓","['😷', '🦠', '❓']",[],['mansukhmandviya'],['https://t.co/JVmWwshJkQ'],
31,en,1440922157802942464,432697203, mansukhmandviya Dear Kind Soul One retweet from you can save an my daughter 1 year old Baby   HelpKhyati  suffering from SMA TYPE1 a fatal genetic disorderShe needs Zolgensma Rs 16 crores Impact guru  https   t co WJzJ5Mj6uX GoFundMe  https   t co 2AWiAuxdu0 savekhyati,1440959059847380992,False, mansukhmandviya Dear Kind Soul One retweet from you can save an my daughter 1 year old Baby   HelpKhyati  suffering from SMA TYPE1 a fatal genetic disorderShe needs Zolgensma Rs 16 crores Impact guru  https   t co WJzJ5Mj6uX GoFundMe  https   t co 2AWiAuxdu0 savekhyati,2021-09-23T08:39:46.000Z,India,"@mansukhmandviya Dear Kind Soul,
One retweet from you can save an my daughter.

1 year old Baby (@HelpKhyati) suffering from SMA TYPE1,a fatal genetic disorder
She needs Zolgensma(Rs 16 crores)

Impact guru: https://t.co/WJzJ5Mj6uX 
GoFundMe: https://t.co/2AWiAuxdu0

#savekhyati",[],[],"['mansukhmandviya', 'HelpKhyati']",['https://t.co/Viau7LWej1'],
32,en,1440922157802942464,432697203, mansukhmandviya Dear Kind Soul One retweet from you can save an my daughter 1 year old Baby   HelpKhyati  suffering from SMA TYPE1 a fatal genetic disorderShe needs Zolgensma Rs 16 crores Impact guru  https   t co WJzJ5Mj6uX GoFundMe  https   t co 2AWiAuxdu0 savekhyati,1440959043455963141,False, mansukhmandviya Dear Kind Soul One retweet from you can save an my daughter 1 year old Baby   HelpKhyati  suffering from SMA TYPE1 a fatal genetic disorderShe needs Zolgensma Rs 16 crores Impact guru  https   t co WJzJ5Mj6uX GoFundMe  https   t co 2AWiAuxdu0 savekhyati,2021-09-23T08:39:42.000Z,India,"@mansukhmandviya Dear Kind Soul,
One retweet from you can save an my daughter.

1 year old Baby (@HelpKhyati) suffering from SMA TYPE1,a fatal genetic disorder
She needs Zolgensma(Rs 16 crores)

Impact guru: https://t.co/WJzJ5Mj6uX 
GoFundMe: https://t.co/2AWiAuxdu0

#savekhyati",[],[],"['mansukhmandviya', 'HelpKhyati']",['https://t.co/tujiMh8QE0'],
33,en,1440922157802942464,432697203, mansukhmandviya Inhumanity in NACO   they re treated as slaves   more than 30000 contractual employees all over India struggling pay revision   they didn t past 5 years  LabourMinistry  CNNnews18  ndtv  TimesNow  timesofindia  PMOIndia  the hindu  ABPNews  BJP4TamilNadu  BJP4Delhi,1440956760420859905,False, mansukhmandviya Inhumanity in NACO   they re treated as slaves   more than 30000 contractual employees all over India struggling pay revision   they didn t past 5 years  LabourMinistry  CNNnews18  ndtv  TimesNow  timesofindia  PMOIndia  the hindu  ABPNews  BJP4TamilNadu  BJP4Delhi,2021-09-23T08:30:38.000Z,India,"@mansukhmandviya Inhumanity in NACO , they're treated as slaves , more than 30000 contractual employees all over India struggling pay revision , they didn't past 5 years.@LabourMinistry @CNNnews18 @ndtv @TimesNow @timesofindia @PMOIndia @the_hindu @ABPNews @BJP4TamilNadu @BJP4Delhi",[],[],['mansukhmandviya'],['https://t.co/QI7NuXs6CO'],
34,en,1440922157802942464,432697203, mansukhmandviya Its been 4 months with post covid 24x7 oxygen support  Please help ,1440954696416387076,False, mansukhmandviya Its been 4 months with post covid 24x7 oxygen support  Please help ,2021-09-23T08:22:25.000Z,India,@mansukhmandviya Its been 4 months with post covid 24x7 oxygen support. Please help.,[],[],['mansukhmandviya'],[],
35,en,1440922157802942464,432697203, mansukhmandviya Dr has only right to prescribe drugs name who gave them right to wrote Brand Name In my city one trust hospital was there their Dr prescribed brand name which actual cost was 10 15 and Mrp was 100 Give ppl independence to choose company and make ppl free from Dr Terrorism,1440941669243756544,False, mansukhmandviya Dr has only right to prescribe drugs name who gave them right to wrote Brand Name In my city one trust hospital was there their Dr prescribed brand name which actual cost was 10 15 and Mrp was 100 Give ppl independence to choose company and make ppl free from Dr Terrorism,2021-09-23T07:30:40.000Z,India,"@mansukhmandviya Dr has only right to prescribe drugs name who gave them right to wrote Brand Name 

In my city one trust hospital was there their Dr prescribed brand name which actual cost was 10-15 and Mrp was 100 
Give ppl independence to choose company and make ppl free from Dr Terrorism",[],[],['mansukhmandviya'],['https://t.co/WOCIWtA0sg'],
36,en,1440922157802942464,432697203, mansukhmandviya Bur when ppl get independence from DR terrorism     50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees,1440941262211743748,False, mansukhmandviya Bur when ppl get independence from DR terrorism     50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees,2021-09-23T07:29:02.000Z,India,"@mansukhmandviya Bur when ppl get independence from DR terrorism???  
50 rupees ke strip ke jagah khud ka Commission badhane ke liye 100 wale strip likhte hae and actual cost of that strip was 10 rupees",[],[],['mansukhmandviya'],['https://t.co/yCZKHtVu3v'],
37,en,1440922157802942464,432697203, mansukhmandviya  DDNewslive  Follow me guys Follow back confirm,1440936429895307270,False, mansukhmandviya  DDNewslive  Follow me guys Follow back confirm,2021-09-23T07:09:50.000Z,India,"@mansukhmandviya @DDNewslive #Follow me guys
#Follow_back confirm🙏🙏",['🙏'],"['Follow', 'Follow_back']","['mansukhmandviya', 'DDNewslive']",[],
38,en,1440922157802942464,432697203, mansukhmandviya  DDNewslive  Follow me guys Follow back confirm,1440936395581755392,False, mansukhmandviya  DDNewslive  Follow me guys Follow back confirm,2021-09-23T07:09:42.000Z,India,"@mansukhmandviya @DDNewslive #Follow me guys
#Follow_back confirm🙏🙏",['🙏'],"['Follow', 'Follow_back']","['mansukhmandviya', 'DDNewslive']",[],
39,en,1440922157802942464,432697203, mansukhmandviya Sir  please airport par testing na rates ni loot chale che te band karavo  Fully vaccinated passenger ne par 2700 rs apva pade che Amdavad ma  Numbers of passengers roj travel kare che ne lab vada o pase enough sample hoy che test karva  still 2500 2700 charges is very high ,1440933692491255817,False, mansukhmandviya Sir  please airport par testing na rates ni loot chale che te band karavo  Fully vaccinated passenger ne par 2700 rs apva pade che Amdavad ma  Numbers of passengers roj travel kare che ne lab vada o pase enough sample hoy che test karva  still 2500 2700 charges is very high ,2021-09-23T06:58:58.000Z,India,"@mansukhmandviya Sir, please airport par testing na rates ni loot chale che te band karavo. Fully vaccinated passenger ne par 2700 rs apva pade che Amdavad ma. Numbers of passengers roj travel kare che ne lab vada o pase enough sample hoy che test karva, still 2500-2700 charges is very high!",[],[],['mansukhmandviya'],['https://t.co/kWksHTJrPu'],
40,en,1440922157802942464,432697203, mansukhmandviya Why not vaccinated hindus migrants of Pakistan ,1440926987309125636,False, mansukhmandviya Why not vaccinated hindus migrants of Pakistan ,2021-09-23T06:32:19.000Z,India,@mansukhmandviya Why not vaccinated hindus migrants of Pakistan 👎👎👎,['👎'],[],['mansukhmandviya'],[],
41,en,1440922157802942464,432697203, mansukhmandviya Thanks with regards,1440926808820486147,False, mansukhmandviya Thanks with regards,2021-09-23T06:31:37.000Z,India,@mansukhmandviya Thanks with regards,[],[],['mansukhmandviya'],[],
42,en,1440922157802942464,432697203, mansukhmandviya  PIB India Thank you sir ,1440926665190739974,False, mansukhmandviya  PIB India Thank you sir ,2021-09-23T06:31:02.000Z,India,@mansukhmandviya @PIB_India Thank you sir!,[],[],"['mansukhmandviya', 'PIB_India']",[],
43,en,1440922157802942464,432697203, mansukhmandviya  MoHFW INDIA Where is the module sir,1440926657410330625,False, mansukhmandviya  MoHFW INDIA Where is the module sir,2021-09-23T06:31:00.000Z,India,@mansukhmandviya @MoHFW_INDIA Where is the module sir,[],[],"['mansukhmandviya', 'MoHFW_INDIA']",[],
44,en,1440922157802942464,432697203, mansukhmandviya Thanks for your precautionary vision ,1440926556885450756,False, mansukhmandviya Thanks for your precautionary vision ,2021-09-23T06:30:36.000Z,India,@mansukhmandviya Thanks for your precautionary vision.,[],[],['mansukhmandviya'],[],
45,hi,1440922157802942464,432697203, mansukhmandviya हार्दिक अभिनंदन,1440926431458959362,False,,2021-09-23T06:30:07.000Z,India,@mansukhmandviya हार्दिक अभिनंदन,[],[],['mansukhmandviya'],[], mansukhmandviya हार्दिक अभिनंदन
46,en,1440874912588066816,432697203, Sudip 007 truth  aprasath56  mansukhmandviya  narendramodi Domestically used certificate is one thing but having a picture of the leader is really funny when you travel internationally  Immigration officer will scratch his head when he realises the picture on passport is not matching the picture on certificate Modi is desperate ,1441021101782577155,False, Sudip 007 truth  aprasath56  mansukhmandviya  narendramodi Domestically used certificate is one thing but having a picture of the leader is really funny when you travel internationally  Immigration officer will scratch his head when he realises the picture on passport is not matching the picture on certificate Modi is desperate ,2021-09-23T12:46:18.000Z,India,"@Sudip_007_truth @aprasath56 @mansukhmandviya @narendramodi Domestically used certificate is one thing but having a picture of the leader is really funny when you travel internationally. Immigration officer will scratch his head when he realises the picture on passport is not matching the picture on certificate 🤣🤣🤣
Modi is desperate.",['🤣'],[],"['Sudip_007_truth', 'aprasath56', 'mansukhmandviya', 'narendramodi']",['https://t.co/04LdBlMDqn'],
