,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_en
11,hi,1440485574469570565,1113711398226415616, CmhoIECJodhpur जिन्होंने इस बीमारी की वजह से अपनों को खोयाहै  वे लोग इस बीमारी की गंभीरता को जरूर समझतेहैंटीबी  एक प्राण घातक बीमारी है किसी की भी जिंदगी को बर्बाद कर सकतीहैंसमय रहते इस गंभीर बीमारी से छुटकारा मिल जाए तो बेहतरहै अन्यथा परिणाम गंभीर हो सकतेंहैंअपनों की याद मेंलिख रहा हूं,1440502132726124546,False, CmhoIECJodhpur जिन्होंने इस बीमारी की वजह से अपनों को खोयाहै  वे लोग इस बीमारी की गंभीरता को जरूर समझतेहैंटीबी  एक प्राण घातक बीमारी है किसी की भी जिंदगी को बर्बाद कर सकतीहैंसमय रहते इस गंभीर बीमारी से छुटकारा मिल जाए तो बेहतरहै अन्यथा परिणाम गंभीर हो सकतेंहैंअपनों की याद मेंलिख रहा हूं,2021-09-22T02:24:06.000Z,India,"@CmhoIECJodhpur जिन्होंने इस बीमारी की वजह से अपनों को खोयाहै,,वे लोग इस बीमारी की गंभीरता को जरूर समझतेहैं

टीबी ,एक प्राण घातक बीमारी है,किसी की भी जिंदगी को बर्बाद कर सकतीहैं

समय रहते इस गंभीर बीमारी से छुटकारा मिल जाए तो बेहतरहै,अन्यथा परिणाम गंभीर हो सकतेंहैं

अपनों की याद में
लिख रहा हूं",[],[],['CmhoIECJodhpur'],['https://t.co/jRscFU0cuH'],,
12,hi,1440350343292809218,790062508006449152, ChandanStudents  rajeshkotak64  khaitan48  ArvindKejriwal  its vandana1 धन्यवाद ,1440640309830963202,False, ChandanStudents  rajeshkotak64  khaitan48  ArvindKejriwal  its vandana1 धन्यवाद ,2021-09-22T11:33:10.000Z,India,@ChandanStudents @rajeshkotak64 @khaitan48 @ArvindKejriwal @its_vandana1 धन्यवाद 🌹🙏🏽,"['🙏🏽', '🌹']",[],"['ChandanStudents', 'rajeshkotak64', 'khaitan48', 'ArvindKejriwal', 'its_vandana1']",[],,
13,hi,1440345788178075655,175454731, realityknown1 https   t co Q7Cos4cUtX और इसमें जो अकारण ब्राह्मण समाज को घसीटा जा रहा है उस पर दो शब्द    ,1440688228709769229,False, realityknown1 https   t co Q7Cos4cUtX और इसमें जो अकारण ब्राह्मण समाज को घसीटा जा रहा है उस पर दो शब्द    ,2021-09-22T14:43:35.000Z,India,"@realityknown1 https://t.co/Q7Cos4cUtX 
और इसमें जो अकारण ब्राह्मण समाज को घसीटा जा रहा है उस पर दो शब्द ???",[],[],['realityknown1'],['https://t.co/Q7Cos4cUtX'],,
14,hi,1440345788178075655,175454731, realityknown1 Brahman pahle khud ke logo ko bacha le phir koi samaj seva kare phir achha rahega,1440593932220469251,False, realityknown1 Brahman pahle khud ke logo ko bacha le phir koi samaj seva kare phir achha rahega,2021-09-22T08:28:53.000Z,India,@realityknown1 Brahman pahle khud ke logo ko bacha le phir koi samaj seva kare phir achha rahega,[],[],['realityknown1'],[],,
15,en,1440329596453339144,190351028, ombirlakota  ICMRDELHI AAA usa canada ages lie country ages poverty poverty poverty ages,1440589255756050442,False,,2021-09-22T08:10:18.000Z,India,@ombirlakota @ICMRDELHI AAA usa canada ages lie country ages poverty poverty poverty ages,[],[],"['ombirlakota', 'ICMRDELHI']",[],, ombirlakota  ICMRDELHI AAA usa canada ages lie country ages poverty poverty poverty ages
16,en,1440329596453339144,190351028, ombirlakota  ICMRDELHI Dear  ombirlakota Lok Sabha SpeakerI am Priyam a poor student from Varanasi  I am a BPL card holder my Father is disabled by 100  and I have passed out 12th just because of my own effort I am unable to study further please give me admission and bear my further eenses for IIT ,1440563589874544643,False,,2021-09-22T06:28:18.000Z,India,"@ombirlakota @ICMRDELHI Dear @ombirlakota 
Lok Sabha Speaker
I am Priyam a poor student from Varanasi .I am a BPL card holder,my Father is disabled by 100% and I have passed out 12th just because of my own effort.I am unable to study further,please give me admission and bear my further expenses for IIT.",['xp'],[],"['ombirlakota', 'ICMRDELHI', 'ombirlakota']",['https://t.co/LF7ZpQXPJq'],, ombirlakota  ICMRDELHI Dear  ombirlakota Lok Sabha SpeakerI am Priyam a poor student from Varanasi  I am a BPL card holder my Father is disabled by 100  and I have passed out 12th just because of my own effort I am unable to study further please give me admission and bear my further eenses for IIT 
17,hi,1440321348140560391,4373488965, varonicakshawn  Manchali Moni जय श्री राधाकृष्णन बहन,1440353129975844882,False, varonicakshawn  Manchali Moni जय श्री राधाकृष्णन बहन,2021-09-21T16:32:01.000Z,India,@varonicakshawn @Manchali_Moni जय श्री राधाकृष्णन बहन,[],[],"['varonicakshawn', 'Manchali_Moni']",[],,
18,hi,1440321348140560391,4373488965, arun sahu1  Manchali Moni Jai shri radhe ,1440351517379215372,False, arun sahu1  Manchali Moni Jai shri radhe ,2021-09-21T16:25:36.000Z,India,@arun_sahu1 @Manchali_Moni Jai shri radhe 💐,['💐'],[],"['arun_sahu1', 'Manchali_Moni']",[],,
19,hi,1440309250593476614,282938386,सिडनी मैनचेस्टर  जेएएमए पीडियाट्रिक्स नाम की पत्रिका में प्रकाशित एक नए अध्ययन में पता चला है कि ऐसे बच्चे जिनमें ऑटिज्म के शुरुआती लक्षण हों  उनकी पहले ही साल में थैरेपी शुरू कर देने के बहुत लाभ होते हैं क्योंकि इस आयु में मस्तिष्क तेजी से विकसित हो रहा होता है।,1440310018046189588,False,सिडनी मैनचेस्टर  जेएएमए पीडियाट्रिक्स नाम की पत्रिका में प्रकाशित एक नए अध्ययन में पता चला है कि ऐसे बच्चे जिनमें ऑटिज्म के शुरुआती लक्षण हों  उनकी पहले ही साल में थैरेपी शुरू कर देने के बहुत लाभ होते हैं क्योंकि इस आयु में मस्तिष्क तेजी से विकसित हो रहा होता है।,2021-09-21T13:40:42.000Z,India,"सिडनी/मैनचेस्टर, जेएएमए पीडियाट्रिक्स नाम की पत्रिका में प्रकाशित एक नए अध्ययन में पता चला है कि ऐसे बच्चे जिनमें ऑटिज्म के शुरुआती लक्षण हों, उनकी पहले ही साल में थैरेपी शुरू कर देने के बहुत लाभ होते हैं क्योंकि इस आयु में मस्तिष्क तेजी से विकसित हो रहा होता है।",[],[],[],['https://t.co/moRisGe2VD'],,
20,hi,1440305920228032522,980319776, ddnewsBihar  DDNewsHindi  PIB Patna  BiharHealthDept क्योंकि जाँच ही गलत हुई है,1440578927047495688,False, ddnewsBihar  DDNewsHindi  PIB Patna  BiharHealthDept क्योंकि जाँच ही गलत हुई है,2021-09-22T07:29:15.000Z,India,@ddnewsBihar @DDNewsHindi @PIB_Patna @BiharHealthDept क्योंकि जाँच ही गलत हुई है,[],[],"['ddnewsBihar', 'DDNewsHindi', 'PIB_Patna', 'BiharHealthDept']",[],,
21,hi,1440285084880293892,938002728898347008, Republic Bharat bahut khatarnaak bimari hai ye aur 80 se oopar 1 in 6 ko ho jaati hai  atyant dukhud  cancer se b jyada darte han log isko hone ki aashanka se  khandani b ho jaati hai,1440291897017135125,False, Republic Bharat bahut khatarnaak bimari hai ye aur 80 se oopar 1 in 6 ko ho jaati hai  atyant dukhud  cancer se b jyada darte han log isko hone ki aashanka se  khandani b ho jaati hai,2021-09-21T12:28:42.000Z,India,@Republic_Bharat bahut khatarnaak bimari hai ye aur 80 se oopar 1 in 6 ko ho jaati hai. atyant dukhud. cancer se b jyada darte han log isko hone ki aashanka se. khandani b ho jaati hai,[],[],['Republic_Bharat'],['https://t.co/caYeilKaQt'],,
22,hi,1440272278818725899,978598224876441601,टीबी रोगियों की सुविधा के लिए ‘निक्षय पोषण योजना’  ‘उपचार समर्थक योजना’ और ‘निजी प्रदाता अधिसूचना योजना’ नामक चार योजनाएं चलाई जा रही हैं  जिसके तहत टीबी रोगियों और उनकी देखभाल करने वालों को प्रत्यक्ष लाभ हस्तांतरण  डीबीटी  के माध्यम से सहायता प्रदान की जाती है।,1440272773725626375,False,टीबी रोगियों की सुविधा के लिए ‘निक्षय पोषण योजना’  ‘उपचार समर्थक योजना’ और ‘निजी प्रदाता अधिसूचना योजना’ नामक चार योजनाएं चलाई जा रही हैं  जिसके तहत टीबी रोगियों और उनकी देखभाल करने वालों को प्रत्यक्ष लाभ हस्तांतरण  डीबीटी  के माध्यम से सहायता प्रदान की जाती है।,2021-09-21T11:12:42.000Z,India,"टीबी रोगियों की सुविधा के लिए ‘निक्षय पोषण योजना’, ‘उपचार समर्थक योजना’ और ‘निजी प्रदाता अधिसूचना योजना’ नामक चार योजनाएं चलाई जा रही हैं, जिसके तहत टीबी रोगियों और उनकी देखभाल करने वालों को प्रत्यक्ष लाभ हस्तांतरण (डीबीटी) के माध्यम से सहायता प्रदान की जाती है।",[],[],[],['https://t.co/abfCgeuKiu'],,
23,hi,1440196734018150400,1437311353073520643, AbhiTwt  धन्यवाद आपका  ,1440260814322077704,False, AbhiTwt  धन्यवाद आपका  ,2021-09-21T10:25:11.000Z,India,"@AbhiTwt_ धन्यवाद आपका, 🙏",['🙏'],[],['AbhiTwt_'],[],,
24,en,1440192413205614593,125306235, onlymyhealth Daily Top 20 Current Affairs ke liye hamari Post ko Jarur Read Karen https   t co Q11LMDIeUy currentaffairs  exampur  upteachervacancy  BluehostWPAwards  YamahaAerox155Launched  InternationalDayOfPeace  Adani  KejriwalKiJobGuarantee  YahKaisiSansad  CurrentAffairs,1440266536753631240,False,,2021-09-21T10:47:55.000Z,India,"@onlymyhealth Daily Top 20 Current Affairs ke liye hamari Post ko Jarur Read Karen 🔥🔥🔥🔥🔥🔥
https://t.co/Q11LMDIeUy

#currentaffairs #exampur #upteachervacancy #BluehostWPAwards #YamahaAerox155Launched #InternationalDayOfPeace #Adani #KejriwalKiJobGuarantee #YahKaisiSansad #CurrentAffairs",['🔥'],[],['onlymyhealth'],"['https://t.co/Q11LMDIeUy', 'https://t.co/mwfzNxGZR6']",, onlymyhealth Daily Top 20 Current Affairs ke liye hamari Post ko Jarur Read Karen https   t co Q11LMDIeUy currentaffairs  exampur  upteachervacancy  BluehostWPAwards  YamahaAerox155Launched  InternationalDayOfPeace  Adani  KejriwalKiJobGuarantee  YahKaisiSansad  CurrentAffairs
25,hi,1440189480728625154,125306235,हर साल 21 सितंबर को विश्व अल्जाइमर दिवस  World Alzheimer s Day  मनाया जाता है। अल्जाइमर के लक्षणों को समझने के लिए हमने बात की शारदा हॉस्पिटल  नोएडा के न्यूरोसर्जरी विभाग के हेड डॉ  विकास भारद्वाज से।  DoctorVerified  DrVikasBhardwaj https   t co cyJ2hjhBK6,1440191276830244869,True,हर साल 21 सितंबर को विश्व अल्जाइमर दिवस  World Alzheimer s Day  मनाया जाता है। अल्जाइमर के लक्षणों को समझने के लिए हमने बात की शारदा हॉस्पिटल  नोएडा के न्यूरोसर्जरी विभाग के हेड डॉ  विकास भारद्वाज से।  DoctorVerified  DrVikasBhardwaj https   t co cyJ2hjhBK6,2021-09-21T05:48:52.000Z,India,"हर साल 21 सितंबर को विश्व अल्जाइमर दिवस (World Alzheimer's Day) मनाया जाता है। अल्जाइमर के लक्षणों को समझने के लिए हमने बात की शारदा हॉस्पिटल, नोएडा के न्यूरोसर्जरी विभाग के हेड डॉ. विकास भारद्वाज से। 
#DoctorVerified #DrVikasBhardwaj https://t.co/cyJ2hjhBK6",[],[],[],['https://t.co/LglKUUGWpC'],,
26,hi,1440189480728625154,125306235,अल्जाइमर रोग में रोगी मन के भीतर होने वाले परिवर्तन मूड और व्यवहार को नही पहचान पाते। इस बीमारी में रोगी को नींद की आदतों में बदलाव  रूचि की कमी  सामाजिक मेलजोल में कमी  भ्रम  अवसाद  चिड़चिड़ापन और आक्रामकता का अनुभव हो सकता है। WorldAlzheimersDay https   t co 2PPf3STW42,1440190504826667011,True,अल्जाइमर रोग में रोगी मन के भीतर होने वाले परिवर्तन मूड और व्यवहार को नही पहचान पाते। इस बीमारी में रोगी को नींद की आदतों में बदलाव  रूचि की कमी  सामाजिक मेलजोल में कमी  भ्रम  अवसाद  चिड़चिड़ापन और आक्रामकता का अनुभव हो सकता है। WorldAlzheimersDay https   t co 2PPf3STW42,2021-09-21T05:45:48.000Z,India,"अल्जाइमर रोग में रोगी मन के भीतर होने वाले परिवर्तन मूड और व्यवहार को नही पहचान पाते। इस बीमारी में रोगी को नींद की आदतों में बदलाव, रूचि की कमी, सामाजिक मेलजोल में कमी, भ्रम, अवसाद, चिड़चिड़ापन और आक्रामकता का अनुभव हो सकता है।
#WorldAlzheimersDay https://t.co/2PPf3STW42",[],[],[],['https://t.co/go8iHDziKu'],,
27,hi,1440167569063694348,1035107587006648320, SatyaHindi Rog nahi hai na toh koi chinta k bat nahi hai ,1440180690197237766,False, SatyaHindi Rog nahi hai na toh koi chinta k bat nahi hai ,2021-09-21T05:06:48.000Z,India,@SatyaHindi Rog nahi hai na?toh koi chinta k bat nahi hai.,[],[],['SatyaHindi'],[],,
28,hi,1440127118839480320,760997411263279104, swamigirish980  जय श्रीराम  जय हनुमान  हर हर महादेव सुप्रभात वंदन जी ,1440168153451884548,False, swamigirish980  जय श्रीराम  जय हनुमान  हर हर महादेव सुप्रभात वंदन जी ,2021-09-21T04:16:59.000Z,India,"@swamigirish980 #जय_श्रीराम #जय_हनुमान 
#हर_हर_महादेव सुप्रभात वंदन जी 🙏🙏",['🙏'],"['जय_श्रीराम', 'जय_हनुमान', 'हर_हर_महादेव']",['swamigirish980'],[],,
29,hi,1439966633351471107,702039111427866624, Distant Wisdom ॐ हरि,1439970450243665925,False, Distant Wisdom ॐ हरि,2021-09-20T15:11:23.000Z,India,@Distant_Wisdom ॐ हरि,[],[],['Distant_Wisdom'],[],,
30,hi,1439908624197775362,1106469488008921089, ShivSha80732190 परम् सत्य भ्राता श्रीशुभ प्रभात,1440161047919292420,False, ShivSha80732190 परम् सत्य भ्राता श्रीशुभ प्रभात,2021-09-21T03:48:45.000Z,India,"@ShivSha80732190 परम् सत्य भ्राता श्री

शुभ प्रभात🙏",['🙏'],[],['ShivSha80732190'],[],,
31,hi,1439877298233110533,1426514588657360896,https   t co SQIFTX3tyI इश ट्वीट को रिट्वीट कीजिए ,1439877300833558530,False,https   t co SQIFTX3tyI इश ट्वीट को रिट्वीट कीजिए ,2021-09-20T09:01:14.000Z,India,https://t.co/SQIFTX3tyI इश ट्वीट को रिट्वीट कीजिए 🙏,['🙏'],[],[],['https://t.co/SQIFTX3tyI'],,
32,en,1439875410896900097,1587915768, zeerajasthan   vivekupd1992 Thanks for update,1439880484654178309,False,,2021-09-20T09:13:53.000Z,India,@zeerajasthan_ @vivekupd1992 Thanks for update,[],[],"['zeerajasthan_', 'vivekupd1992']",[],, zeerajasthan   vivekupd1992 Thanks for update
33,hi,1439858706787627010,779284616981188608, NiranjanTripa16 शिव शुभंकर हों  ,1439880333759942661,False, NiranjanTripa16 शिव शुभंकर हों  ,2021-09-20T09:13:17.000Z,India,@NiranjanTripa16 शिव शुभंकर हों !,[],[],['NiranjanTripa16'],[],,
34,hi,1439775926036754436,711254879508025345, PritiSr01869946 भाईसाहब सुन कर अच्छा लगा । मैं तो चाहता हूँ कि यह भाई बहिन का रिश्ता सिर्फ ट्विटर न रहकर धरातल पर भी आजन्म बना रहे,1439792325190770694,False, PritiSr01869946 भाईसाहब सुन कर अच्छा लगा । मैं तो चाहता हूँ कि यह भाई बहिन का रिश्ता सिर्फ ट्विटर न रहकर धरातल पर भी आजन्म बना रहे,2021-09-20T03:23:35.000Z,India,@PritiSr01869946 भाईसाहब सुन कर अच्छा लगा । मैं तो चाहता हूँ कि यह भाई बहिन का रिश्ता सिर्फ ट्विटर न रहकर धरातल पर भी आजन्म बना रहे,[],[],['PritiSr01869946'],[],,
35,hi,1439775926036754436,711254879508025345, yogesh 1969 सादर प्रणाम भाईसाहब जी ।,1439778873072177159,False, yogesh 1969 सादर प्रणाम भाईसाहब जी ।,2021-09-20T02:30:07.000Z,India,@yogesh_1969 सादर प्रणाम भाईसाहब जी ।,[],[],['yogesh_1969'],[],,
36,hi,1439774988660142085,1314623307501633537,यहाँ एक व्यक्ति विशेष का जितना महत्व है उतना ही दूसरा के भी हैं जो समानता के पहचान  Human Rights  Human science  के भाव है  अमेरिका जानता है और अवमानना कब तक  मानना चाहिए व्यक्ति की स्वतंत्रता पर पाबंदी लगा देना विचारों के साथ अधिकार का हनन है          आमनागरिक,1439786098293497858,False,यहाँ एक व्यक्ति विशेष का जितना महत्व है उतना ही दूसरा के भी हैं जो समानता के पहचान  Human Rights  Human science  के भाव है  अमेरिका जानता है और अवमानना कब तक  मानना चाहिए व्यक्ति की स्वतंत्रता पर पाबंदी लगा देना विचारों के साथ अधिकार का हनन है          आमनागरिक,2021-09-20T02:58:50.000Z,India,"यहाँ एक व्यक्ति विशेष का जितना महत्व है उतना ही दूसरा के भी हैं जो समानता के पहचान  Human Rights, Human science  के भाव है.
#अमेरिका जानता है और अवमानना कब तक, मानना चाहिए व्यक्ति की स्वतंत्रता पर पाबंदी लगा देना विचारों के साथ अधिकार का हनन है. 
...... #आमनागरिक",[],[],[],['https://t.co/luWFtYnyGA'],,
37,hi,1439638234829508608,1394581133455618052,  SunilChaudhary बाकी 71 भी ऐसी ही हैं,1439640292013969408,False,  SunilChaudhary बाकी 71 भी ऐसी ही हैं,2021-09-19T17:19:27.000Z,India,@_SunilChaudhary बाकी 71 भी ऐसी ही हैं,[],[],['_SunilChaudhary'],[],,
38,hi,1439638234829508608,1394581133455618052,  SunilChaudhary बेचारा अब्दुल अब 72 हुरो के बिना जन्नत में कैसे रहेगा ,1439638839933300744,False,  SunilChaudhary बेचारा अब्दुल अब 72 हुरो के बिना जन्नत में कैसे रहेगा ,2021-09-19T17:13:41.000Z,India,@_SunilChaudhary बेचारा अब्दुल अब 72 हुरो के बिना जन्नत में कैसे रहेगा 😭😂🤣🤣,"['😭', '🤣', '😂']",[],['_SunilChaudhary'],[],,
39,hi,1439633333638483969,2222989610, sureshmishra306 वाह साहब वाह   ,1439686704449785856,False, sureshmishra306 वाह साहब वाह   ,2021-09-19T20:23:53.000Z,India,@sureshmishra306 वाह साहब वाह...👌👌👌,['👌'],[],['sureshmishra306'],[],,
40,hi,1439612299384274946,1359145352692068354, Diksha riya  Real Diksha संत साहेब,1440342911418200080,False, Diksha riya  Real Diksha संत साहेब,2021-09-21T15:51:25.000Z,India,@Diksha_riya @Real_Diksha संत साहेब,[],[],"['Diksha_riya', 'Real_Diksha']",[],,
41,hi,1439612299384274946,1359145352692068354, Diksha riya  Real Diksha  StoryOfAadiGaneshaसिर्फ सच्चा सतगुरु ही गणेश जी और आदि गणेश जी के बीच का भेद बता सकता है। अधिक जानकारी के लिए Satlok Ashram Youtube चैनल पर visit करें  https   t co ZfZPsjH3Ui,1439617681657774087,False, Diksha riya  Real Diksha  StoryOfAadiGaneshaसिर्फ सच्चा सतगुरु ही गणेश जी और आदि गणेश जी के बीच का भेद बता सकता है। अधिक जानकारी के लिए Satlok Ashram Youtube चैनल पर visit करें  https   t co ZfZPsjH3Ui,2021-09-19T15:49:36.000Z,India,"@Diksha_riya @Real_Diksha #StoryOfAadiGanesha
सिर्फ सच्चा सतगुरु ही गणेश जी और आदि गणेश जी के बीच का भेद बता सकता है।
""अधिक जानकारी के लिए Satlok Ashram Youtube चैनल पर visit करें"" https://t.co/ZfZPsjH3Ui",[],['StoryOfAadiGanesha'],"['Diksha_riya', 'Real_Diksha']",['https://t.co/OlPSKoVbfA'],,
42,hi,1439519666829856771,1084780904826920961, GorakhnathMndr  aspirationaldistricttransfer complete54kbasictransfer UPCM श्री  myogiadityanathश्रीमान आकांक्षी पिछड़े  जनपद के शिक्षक वर्षों से अपनी सेवा देने के बादभी असमानता के व्यवहार का दंश झेल रहेचुनाव पूर्व  गृहजनपद भेज कर इस मानसिक पीड़ा से मुक्त करअनुग्रहित करें RahulGandhi,1439528984270626823,False, GorakhnathMndr  aspirationaldistricttransfer complete54kbasictransfer UPCM श्री  myogiadityanathश्रीमान आकांक्षी पिछड़े  जनपद के शिक्षक वर्षों से अपनी सेवा देने के बादभी असमानता के व्यवहार का दंश झेल रहेचुनाव पूर्व  गृहजनपद भेज कर इस मानसिक पीड़ा से मुक्त करअनुग्रहित करें RahulGandhi,2021-09-19T09:57:09.000Z,India,"@GorakhnathMndr #aspirationaldistricttransfer
#complete54kbasictransfer
#UPCM श्री @myogiadityanath
श्रीमान
#आकांक्षी(पिछड़े) जनपद के शिक्षक वर्षों से अपनी सेवा देने के बादभी असमानता के व्यवहार का दंश झेल रहे
चुनाव पूर्व #गृहजनपद भेज कर इस मानसिक पीड़ा से मुक्त कर
अनुग्रहित करें
@RahulGandhi",[],"['aspirationaldistricttransfer', 'complete54kbasictransfer', 'UPCM']","['GorakhnathMndr', 'myogiadityanath']",['https://t.co/qsGZobamHN'],,
