,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
11,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Good,1441094240675586059,False, CollectorJspur  CJagatsinghpur Good,2021-09-23T17:36:55.000Z,India,@CollectorJspur @CJagatsinghpur Good,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
12,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir kichi dina 1st dose ku postpone kariki 2nd dose anantu    cz 1st dose neithiba loka 2nd dose sufficient paunahanti    so pls look after this matter   Thank You,1441093242070568966,False, CollectorJspur  CJagatsinghpur Sir kichi dina 1st dose ku postpone kariki 2nd dose anantu    cz 1st dose neithiba loka 2nd dose sufficient paunahanti    so pls look after this matter   Thank You,2021-09-23T17:32:57.000Z,India,@CollectorJspur @CJagatsinghpur Sir kichi dina 1st dose ku postpone kariki 2nd dose anantu ...cz 1st dose neithiba loka 2nd dose sufficient paunahanti ...so pls look after this matter ..Thank You,[],[],"['CollectorJspur', 'CJagatsinghpur']",['https://t.co/cwMs0jt4uF'],,
13,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Great Sir,1441091754636156936,False, CollectorJspur  CJagatsinghpur Great Sir,2021-09-23T17:27:03.000Z,India,@CollectorJspur @CJagatsinghpur Great Sir,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
14,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Thank u SIR,1441091323100991488,False, CollectorJspur  CJagatsinghpur Thank u SIR,2021-09-23T17:25:20.000Z,India,@CollectorJspur @CJagatsinghpur Thank u SIR,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
15,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur nice,1441091150765432832,False, CollectorJspur  CJagatsinghpur nice,2021-09-23T17:24:39.000Z,India,@CollectorJspur @CJagatsinghpur nice,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
16,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Thank you sir,1441090594370043910,False, CollectorJspur  CJagatsinghpur Thank you sir,2021-09-23T17:22:26.000Z,India,@CollectorJspur @CJagatsinghpur Thank you sir,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
17,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir 2nd dose,1441089804377026565,False, CollectorJspur  CJagatsinghpur Sir 2nd dose,2021-09-23T17:19:18.000Z,India,@CollectorJspur @CJagatsinghpur Sir 2nd dose,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
18,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Thanks sir,1441089715298467860,False, CollectorJspur  CJagatsinghpur Thanks sir,2021-09-23T17:18:56.000Z,India,@CollectorJspur @CJagatsinghpur Thanks sir🙏🙏🙏🙏,['🙏'],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
19,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Please supply more nos vaccine for 2nd dose instead of 1st dose ,1441089331641217029,False, CollectorJspur  CJagatsinghpur Please supply more nos vaccine for 2nd dose instead of 1st dose ,2021-09-23T17:17:25.000Z,India,@CollectorJspur @CJagatsinghpur Please supply more nos vaccine for 2nd dose instead of 1st dose.,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
20,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur What about second dose,1441089263660003340,False, CollectorJspur  CJagatsinghpur What about second dose,2021-09-23T17:17:09.000Z,India,@CollectorJspur @CJagatsinghpur What about second dose,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
21,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir 2nd dose,1441089005672562693,False, CollectorJspur  CJagatsinghpur Sir 2nd dose,2021-09-23T17:16:07.000Z,India,@CollectorJspur @CJagatsinghpur Sir 2nd dose,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
22,en,1441087761046409236,810844763633160192,Consultation reported no abnormalities No previous history of similar episode Can she go with her second dose of covishield as scheduled    DrDeepakKrishn1  HaryaxPathak  serioustaurean https   t co 90Rl5YnkCG,1441087839278563339,False,Consultation reported no abnormalities No previous history of similar episode Can she go with her second dose of covishield as scheduled    DrDeepakKrishn1  HaryaxPathak  serioustaurean https   t co 90Rl5YnkCG,2021-09-23T17:11:29.000Z,India,"Consultation reported no abnormalities.
No previous history of similar episode.

Can she go with her second dose of covishield as scheduled?? @DrDeepakKrishn1 @HaryaxPathak @serioustaurean https://t.co/90Rl5YnkCG",[],[],[],['https://t.co/1a1iBZ5l4z'],,
23,en,1441087761046409236,810844763633160192,Wean off  so she decided to consult a cardiologist and was advised a Stress test TMT  which didn t show any inducible ischemia but ecg showed ST depression   and was put on aspirin clopidogrel muscle relaxant for 1 month which didn t do any good to her pain orthopedics and gastro,1441087763810422791,False,Wean off  so she decided to consult a cardiologist and was advised a Stress test TMT  which didn t show any inducible ischemia but ecg showed ST depression   and was put on aspirin clopidogrel muscle relaxant for 1 month which didn t do any good to her pain orthopedics and gastro,2021-09-23T17:11:11.000Z,India,"Wean off ,so she decided to consult a cardiologist and was advised a Stress test(TMT) which didn't show any inducible ischemia but ecg showed ST depression...and was put on aspirin,clopidogrel,muscle relaxant for 1 month which didn't do any good to her pain.orthopedics and gastro",[],[],[],['https://t.co/an2CpI7G0d'],,
24,en,1441081344637878282,959868384832839681, SimnaniIqbals Racism is a lazy elanation in most cases,1441089524780519434,False, SimnaniIqbals Racism is a lazy elanation in most cases,2021-09-23T17:18:11.000Z,India,@SimnaniIqbals Racism is a lazy explanation in most cases,['xp'],[],['SimnaniIqbals'],[],,
25,en,1441081344637878282,959868384832839681, SimnaniIqbals Syed sahab  that is exactly what I am saying  US has not selectively lifted the ban  UK has selectively lifted the ban  Also  UK isn’t doing any favour upon India  Of late  the Indian Foreign Policy has changed… they will face a reciprocal ban if they don’t let us in ,1441086280842964997,False, SimnaniIqbals Syed sahab  that is exactly what I am saying  US has not selectively lifted the ban  UK has selectively lifted the ban  Also  UK isn’t doing any favour upon India  Of late  the Indian Foreign Policy has changed… they will face a reciprocal ban if they don’t let us in ,2021-09-23T17:05:18.000Z,India,"@SimnaniIqbals Syed sahab, that is exactly what I am saying. US has not selectively lifted the ban. UK has selectively lifted the ban. Also, UK isn’t doing any favour upon India. Of late, the Indian Foreign Policy has changed….they will face a reciprocal ban if they don’t let us in.",[],[],['SimnaniIqbals'],['https://t.co/7Nb509A3F0'],,
26,en,1441081344637878282,959868384832839681, Pratyush  Gupta EU was banned till last week to travel to US  it was only lifted last week  And UK and India are now working together to fix this ,1441085261987794959,False, Pratyush  Gupta EU was banned till last week to travel to US  it was only lifted last week  And UK and India are now working together to fix this ,2021-09-23T17:01:15.000Z,India,"@Pratyush__Gupta EU was banned till last week to travel to US, it was only lifted last week. And UK and India are now working together to fix this.",[],[],['Pratyush__Gupta'],['https://t.co/JWFR9JKOMf'],,
27,en,1441081344637878282,959868384832839681, SimnaniIqbals …certificates have been used in the US   These certificates are handwritten   Now contrast it with India  Our certificates are QR code based and can be verified on the CoWin app government database  With such safeguards in place  I doubt if any certificate can be forged ,1441084175004561410,False, SimnaniIqbals …certificates have been used in the US   These certificates are handwritten   Now contrast it with India  Our certificates are QR code based and can be verified on the CoWin app government database  With such safeguards in place  I doubt if any certificate can be forged ,2021-09-23T16:56:56.000Z,India,"@SimnaniIqbals …certificates have been used in the US. (These certificates are handwritten). Now contrast it with India. Our certificates are QR code based and can be verified on the CoWin app/government database. With such safeguards in place, I doubt if any certificate can be forged.",[],[],['SimnaniIqbals'],['https://t.co/IcYZtppUZ5'],,
28,en,1441081344637878282,959868384832839681, SimnaniIqbals True  but the travel ban of US was imposed upon and thereafter lifted from non white countries like India  as they did with EU   The UK policy has been selectively applied on India  on alleged grounds of fake vaccine certificates   despite evidence that fake vaccine…,1441083733986082829,False, SimnaniIqbals True  but the travel ban of US was imposed upon and thereafter lifted from non white countries like India  as they did with EU   The UK policy has been selectively applied on India  on alleged grounds of fake vaccine certificates   despite evidence that fake vaccine…,2021-09-23T16:55:10.000Z,India,"@SimnaniIqbals True, but the travel ban of US was imposed upon and thereafter lifted from non-white countries like India (as they did with EU). The UK policy has been selectively applied on India (on alleged grounds of fake vaccine certificates), despite evidence that fake vaccine…",[],[],['SimnaniIqbals'],['https://t.co/NFb8zG986o'],,
29,en,1441081344637878282,959868384832839681, SimnaniIqbals I totally agree with u,1441083716609077258,True, SimnaniIqbals I totally agree with u,2021-09-23T16:55:06.000Z,India,@SimnaniIqbals I totally agree with u,[],[],['SimnaniIqbals'],[],,
30,en,1441068758240432128,1144570874726453248, nayanikaaa Everyone or not  India will retaliate if certificate issue is not sorted  From the Foreign Secretary  to foreign minister to PM have given threats already ,1441073026695503881,False, nayanikaaa Everyone or not  India will retaliate if certificate issue is not sorted  From the Foreign Secretary  to foreign minister to PM have given threats already ,2021-09-23T16:12:38.000Z,India,"@nayanikaaa Everyone or not, India will retaliate if certificate issue is not sorted. From the Foreign Secretary, to foreign minister to PM have given threats already.",[],[],['nayanikaaa'],['https://t.co/eHNMIb684x'],,
31,en,1441068758240432128,1144570874726453248, Our Levodopa I’m trying to tell you they’ll have to change the rules for everyone ,1441072404806057986,False, Our Levodopa I’m trying to tell you they’ll have to change the rules for everyone ,2021-09-23T16:10:09.000Z,India,@Our_Levodopa I’m trying to tell you they’ll have to change the rules for everyone.,[],[],['Our_Levodopa'],[],,
32,en,1441068758240432128,1144570874726453248, nayanikaaa But we ain t Kenya  They desperately want a trade deal ,1441072085699162115,False, nayanikaaa But we ain t Kenya  They desperately want a trade deal ,2021-09-23T16:08:53.000Z,India,@nayanikaaa But we ain't Kenya. They desperately want a trade deal.,[],[],['nayanikaaa'],[],,
33,en,1441068758240432128,1144570874726453248, nayanikaaa They have to  Indians publicly have already threatened retaliation ,1441071407492841472,False, nayanikaaa They have to  Indians publicly have already threatened retaliation ,2021-09-23T16:06:12.000Z,India,@nayanikaaa They have to. Indians publicly have already threatened retaliation.,[],[],['nayanikaaa'],[],,
34,en,1441068758240432128,1144570874726453248, Our Levodopa Same reasons listed for most countries  They’ll fix it in a week or less,1441070966168178689,False, Our Levodopa Same reasons listed for most countries  They’ll fix it in a week or less,2021-09-23T16:04:26.000Z,India,@Our_Levodopa Same reasons listed for most countries. They’ll fix it in a week or less,[],[],['Our_Levodopa'],[],,
35,en,1441068758240432128,1144570874726453248, nayanikaaa Ofcourse  But exclusion of India  the reasons stated  are the ones which either reek of shoddy work at best and racism at worse  Not listing Covishield was the mistake  To cover up that  Alex made up the certificate excuse ,1441070722521067523,False, nayanikaaa Ofcourse  But exclusion of India  the reasons stated  are the ones which either reek of shoddy work at best and racism at worse  Not listing Covishield was the mistake  To cover up that  Alex made up the certificate excuse ,2021-09-23T16:03:28.000Z,India,"@nayanikaaa Ofcourse. But exclusion of India (the reasons stated) are the ones which either reek of shoddy work at best and racism at worse. Not listing Covishield was the mistake. To cover up that, Alex made up the certificate excuse.",[],[],['nayanikaaa'],['https://t.co/HIrG7HOpYR'],,
36,en,1441068758240432128,1144570874726453248, Our Levodopa Must be one of those Paki Brits,1441069878702608390,False, Our Levodopa Must be one of those Paki Brits,2021-09-23T16:00:07.000Z,India,@Our_Levodopa Must be one of those Paki Brits,[],[],['Our_Levodopa'],[],,
37,en,1441068758240432128,1144570874726453248, Our Levodopa It is not only India that has been excluded,1441069375834886148,False, Our Levodopa It is not only India that has been excluded,2021-09-23T15:58:07.000Z,India,@Our_Levodopa It is not only India that has been excluded,[],[],['Our_Levodopa'],[],,
38,en,1441065110609354759,1277359375942746112,So  vaccine protection against covid or other viruses will be a lifelong affair   One or other dose being administered every few years   Depending on how much humans eeriment with these viruses in labs  amp  the uncontrolled semi permeable lab environments  ,1441065115114041349,False,So  vaccine protection against covid or other viruses will be a lifelong affair   One or other dose being administered every few years   Depending on how much humans eeriment with these viruses in labs  amp  the uncontrolled semi permeable lab environments  ,2021-09-23T15:41:11.000Z,India,"So, vaccine protection against covid or other viruses will be a lifelong affair?? 

One or other dose being administered every few years? 

(Depending on how much humans experiment with these viruses in labs &amp; the uncontrolled/semi-permeable lab environments).

🐒","['🐒', 'xp']",[],[],['https://t.co/iDGplDzp6c'],,
39,en,1441065110609354759,1277359375942746112,Irrespective of the ongoing int l passport politics  better to get jabs   be it whichever     coz in the long term things will fall into place  I ve heard about the  apparent  3rd  booster  dose that quite a few countries are contemplating  amp  some have embarked on the same   ,1441065113172074500,False,Irrespective of the ongoing int l passport politics  better to get jabs   be it whichever     coz in the long term things will fall into place  I ve heard about the  apparent  3rd  booster  dose that quite a few countries are contemplating  amp  some have embarked on the same   ,2021-09-23T15:41:11.000Z,India,"Irrespective of the ongoing int'l passport politics, better to get jabs - be it whichever... 'coz in the long term things will fall into place! 

I've heard about the ""apparent"" 3rd 'booster' dose that quite a few countries are contemplating &amp; some have embarked on the same...",[],[],[],['https://t.co/5L1V73iAD7'],,
40,en,1441057573004713993,1056218536178143232, alap003319  mangalpandeybjp  MoHFW INDIA भाई  कोविन पोर्टल और डिजिलॉकर पे चेक कर करके थक गया  CC Helpline ppl are helpless because problem is at block district level  Block staffs are Saheb  I feel like       but don t want to destroy my clean police record ,1441065358102712321,False, alap003319  mangalpandeybjp  MoHFW INDIA भाई  कोविन पोर्टल और डिजिलॉकर पे चेक कर करके थक गया  CC Helpline ppl are helpless because problem is at block district level  Block staffs are Saheb  I feel like       but don t want to destroy my clean police record ,2021-09-23T15:42:09.000Z,India,"@alap003319 @mangalpandeybjp @MoHFW_INDIA भाई, कोविन पोर्टल और डिजिलॉकर पे चेक कर करके थक गया, CC/Helpline ppl are helpless because problem is at block/district level. Block staffs are Saheb. I feel like ..... but don't want to destroy my clean police record.",[],[],"['alap003319', 'mangalpandeybjp', 'MoHFW_INDIA']",['https://t.co/PLsCCKCQBc'],,
41,en,1441057573004713993,1056218536178143232, TheSanghiGuy  mangalpandeybjp  MoHFW INDIA Cowin website   helpline number par try kiya  https   t co ZYpn187mlg,1441059972788355072,False, TheSanghiGuy  mangalpandeybjp  MoHFW INDIA Cowin website   helpline number par try kiya  https   t co ZYpn187mlg,2021-09-23T15:20:45.000Z,India,@TheSanghiGuy @mangalpandeybjp @MoHFW_INDIA Cowin website / helpline number par try kiya? https://t.co/ZYpn187mlg,[],[],"['TheSanghiGuy', 'mangalpandeybjp', 'MoHFW_INDIA']",[],,
42,en,1441057573004713993,1056218536178143232,The lady who came to my village to vaccinate says she has submitted the register details with the block authority  block staffs say it s been uploaded updated at their end  If it s been updated then why it s not getting reflected on Cowin  mansukhmandviya ji ,1441058790200119297,False,The lady who came to my village to vaccinate says she has submitted the register details with the block authority  block staffs say it s been uploaded updated at their end  If it s been updated then why it s not getting reflected on Cowin  mansukhmandviya ji ,2021-09-23T15:16:03.000Z,India,"The lady who came to my village to vaccinate says she has submitted the register/details with the block authority, block staffs say it's been uploaded/updated at their end. If it's been updated then why it's not getting reflected on Cowin @mansukhmandviya ji?",[],[],[],['https://t.co/tXeDNEoviK'],,
43,en,1441057573004713993,1056218536178143232,ws updated as 1st dose  amp  got it rectified aftr n number of visits request  Wht kind of system is being run by inefficient ppl here in Bihar  NitishKumar ji  I knw nothing is going to happen still I thought to put it across  Wht shld I do if I ve to travel abroad  tarkishorepd  ,1441057584010592256,False,ws updated as 1st dose  amp  got it rectified aftr n number of visits request  Wht kind of system is being run by inefficient ppl here in Bihar  NitishKumar ji  I knw nothing is going to happen still I thought to put it across  Wht shld I do if I ve to travel abroad  tarkishorepd  ,2021-09-23T15:11:16.000Z,India,ws updated as 1st dose &amp; got it rectified aftr n number of visits/request. Wht kind of system is being run by inefficient ppl here in Bihar @NitishKumar ji? I knw nothing is going to happen still I thought to put it across. Wht shld I do if I've to travel abroad @tarkishorepd ?,[],[],[],['https://t.co/qJKsi3NHf3'],,
44,en,1441057149166268417,3326461785, cobimensah Man  you eect me to read all to find your point   Lol  Point it out  Or cut that portion because the Presidency said we received it ahead of time ,1441066573591109634,False, cobimensah Man  you eect me to read all to find your point   Lol  Point it out  Or cut that portion because the Presidency said we received it ahead of time ,2021-09-23T15:46:59.000Z,India,"@cobimensah Man, you expect me to read all to find your point.? Lol, Point it out. Or cut that portion because the Presidency said we received it ahead of time.",['xp'],[],['cobimensah'],['https://t.co/znNmUaLxR1'],,
45,en,1441057149166268417,3326461785, YAbbanx Per this ghana received its donations right on schedule https   t co cnTaSZjsbC,1441065751448735748,False, YAbbanx Per this ghana received its donations right on schedule https   t co cnTaSZjsbC,2021-09-23T15:43:43.000Z,India,"@YAbbanx Per this ghana received its donations right on schedule 
https://t.co/cnTaSZjsbC",[],[],['YAbbanx'],['https://t.co/cnTaSZjsbC'],,
46,en,1441057149166268417,3326461785, cobimensah Remember Germany’s vaccine donation programme  Ghana had its share ahead of time bcos Nana met Merkel face to face  amp  he made his case  amp  that very day a plane was dispatched to take delivery of the vaccine to GH  We all know  Nana’s influence just that I am the one saying it lol,1441062395040907270,False, cobimensah Remember Germany’s vaccine donation programme  Ghana had its share ahead of time bcos Nana met Merkel face to face  amp  he made his case  amp  that very day a plane was dispatched to take delivery of the vaccine to GH  We all know  Nana’s influence just that I am the one saying it lol,2021-09-23T15:30:23.000Z,India,@cobimensah Remember Germany’s vaccine donation programme? Ghana had its share ahead of time bcos Nana met Merkel face to face &amp; he made his case &amp; that very day a plane was dispatched to take delivery of the vaccine to GH. We all know  Nana’s influence just that I am the one saying it lol,[],[],['cobimensah'],['https://t.co/3i68p7Nq8P'],,
47,en,1441057149166268417,3326461785, cobimensah I am happy that Britain has revised its decision  First and foremost  Also  happy that the president seized the opportunity to add his voice  Nevertheless  I get your take ,1441061254672498688,False, cobimensah I am happy that Britain has revised its decision  First and foremost  Also  happy that the president seized the opportunity to add his voice  Nevertheless  I get your take ,2021-09-23T15:25:51.000Z,India,"@cobimensah I am happy that Britain has revised its decision. First and foremost. Also, happy that the president seized the opportunity to add his voice. Nevertheless, I get your take.",[],[],['cobimensah'],['https://t.co/fnCB9d2U3s'],,
48,en,1441057149166268417,3326461785, YAbbanx Hahahahaha sure thing  If that’s what makes you happy,1441059917771595777,False, YAbbanx Hahahahaha sure thing  If that’s what makes you happy,2021-09-23T15:20:32.000Z,India,@YAbbanx Hahahahaha sure thing. If that’s what makes you happy,[],[],['YAbbanx'],[],,
49,en,1441057149166268417,3326461785, cobimensah Addresses at the UN G Assembly are not just any addresses  They have impacts  Time place  and message ,1441059445820243968,False, cobimensah Addresses at the UN G Assembly are not just any addresses  They have impacts  Time place  and message ,2021-09-23T15:18:40.000Z,India,"@cobimensah Addresses at the UN G/Assembly are not just any addresses. They have impacts. Time place, and message.",[],[],['cobimensah'],[],,
50,en,1441057149166268417,3326461785, cobimensah I believe so  It had an impact ,1441059024930234374,False, cobimensah I believe so  It had an impact ,2021-09-23T15:16:59.000Z,India,@cobimensah I believe so. It had an impact.,[],[],['cobimensah'],[],,
51,en,1441057149166268417,3326461785, YAbbanx And you think that was the remote cause   Something that had been running for days  ,1441058702430191617,False, YAbbanx And you think that was the remote cause   Something that had been running for days  ,2021-09-23T15:15:42.000Z,India,@YAbbanx And you think that was the remote cause ? Something that had been running for days ?,[],[],['YAbbanx'],[],,
52,en,1441057149166268417,3326461785, cobimensah The President wasn t the only critic  His speech at the UN General Assembly renewed the conversation and right after that Britain revised its decision ,1441058472708214789,False, cobimensah The President wasn t the only critic  His speech at the UN General Assembly renewed the conversation and right after that Britain revised its decision ,2021-09-23T15:14:48.000Z,India,@cobimensah The President wasn't the only critic. His speech at the UN General Assembly renewed the conversation and right after that Britain revised its decision.,[],[],['cobimensah'],['https://t.co/oajQb4kSz5'],,
53,en,1441057149166268417,3326461785, YAbbanx Critics now   You sought to attribute that to the Presidents speech how many minutes ago  As it stands now irrespective of the type of vaccine people will still be discriminated on by the regulations  And that is where the real challenge is ,1441057947820380161,False, YAbbanx Critics now   You sought to attribute that to the Presidents speech how many minutes ago  As it stands now irrespective of the type of vaccine people will still be discriminated on by the regulations  And that is where the real challenge is ,2021-09-23T15:12:42.000Z,India,@YAbbanx Critics now ? You sought to attribute that to the Presidents speech how many minutes ago. As it stands now irrespective of the type of vaccine people will still be discriminated on by the regulations. And that is where the real challenge is.,[],[],['YAbbanx'],['https://t.co/1AJdKmSweg'],,
54,en,1441055287159500802,3326461785, Yennu 1 Not deep ,1441070460364537857,False, Yennu 1 Not deep ,2021-09-23T16:02:26.000Z,India,@Yennu_1 Not deep.,[],[],['Yennu_1'],[],,
55,en,1441055287159500802,3326461785, YAbbanx You don t get it  Maybe u need MPH,1441068996485206021,False, YAbbanx You don t get it  Maybe u need MPH,2021-09-23T15:56:37.000Z,India,@YAbbanx You don't get it. Maybe u need MPH,[],[],['YAbbanx'],[],,
56,en,1441052111840718853,3326461785, YAbbanx Bro the last line be where the issue all dey  That’s what has got folks up in arms  Has Nana Addo’s speech reversed that ,1441092484977676299,False, YAbbanx Bro the last line be where the issue all dey  That’s what has got folks up in arms  Has Nana Addo’s speech reversed that ,2021-09-23T17:29:57.000Z,India,@YAbbanx Bro the last line be where the issue all dey. That’s what has got folks up in arms. Has Nana Addo’s speech reversed that?,[],[],['YAbbanx'],[],,
57,en,1441048924811259910,1338537508859211779, StratLogan But covishield will go to Covax as well from October  Any idea how many india Will eort to other nations  ,1441049833771393027,False, StratLogan But covishield will go to Covax as well from October  Any idea how many india Will eort to other nations  ,2021-09-23T14:40:28.000Z,India,"@StratLogan But covishield will go to Covax as well from October .
Any idea how many india Will export to other nations ?",['xp'],[],['StratLogan'],[],,
58,hi,1441044446011744266,2495256621, RajeshS97727223 शुभ संध्या,1441046683542974465,False,,2021-09-23T14:27:57.000Z,India,@RajeshS97727223 शुभ संध्या🙏,['🙏'],[],['RajeshS97727223'],[],, RajeshS97727223 शुभ संध्या
59,hi,1441044446011744266,2495256621, RajeshS97727223 बधाई होटेक केयर,1441046359117742085,False,,2021-09-23T14:26:40.000Z,India,"@RajeshS97727223 बधाई हो
टेक केयर",[],[],['RajeshS97727223'],[],, RajeshS97727223 बधाई होटेक केयर
60,en,1441044446011744266,2495256621, RajeshS97727223 Congrats ,1441045868413476864,False, RajeshS97727223 Congrats ,2021-09-23T14:24:43.000Z,India,@RajeshS97727223 Congrats 👏,['👏'],[],['RajeshS97727223'],[],,
61,en,1441042999186649091,1422935413736427531,Covid vaccination Utsava camp Mahadevapura Assembly Constituency  Marathahalli ward no 86  Covaxin and Covishield Total 456 Doses Administrated to Beneficiaries gt  Marathahalli Ward Office gt  Aswath nagar Govt school gt  Old Primary health center gt  Yemalur Government school,1441044227593367552,False,Covid vaccination Utsava camp Mahadevapura Assembly Constituency  Marathahalli ward no 86  Covaxin and Covishield Total 456 Doses Administrated to Beneficiaries gt  Marathahalli Ward Office gt  Aswath nagar Govt school gt  Old Primary health center gt  Yemalur Government school,2021-09-23T14:18:11.000Z,India,"Covid vaccination Utsava camp 🇮🇳
Mahadevapura Assembly Constituency, 
Marathahalli ward no-86. 
Covaxin and Covishield Total:456 Doses Administrated to Beneficiaries
&gt; Marathahalli Ward Office
&gt; Aswath nagar Govt school
&gt; Old Primary health center
&gt; Yemalur Government school",['🇮🇳'],[],[],['https://t.co/kRxRDfR63q'],,
